apk,category,violation_type,is_violation,config1,config2,aql_timer,ast_changes,bad_aql_runs_binary,bad_aql_runs_hdd,bad_compile_runs_binary,bad_compile_runs_hdd,binary_timer,compile_timer,end_line_count,good_aql_runs_binary,good_aql_runs_hdd,good_compile_runs_binary,good_compile_runs_hdd,hdd_timer,jdeps_timer,method_timer,program_timer,rejected_changes,setup_timer,start_line_count,time_bad_aql_runs_binary,time_bad_aql_runs_hdd,time_bad_compile_runs_binary,time_bad_compile_runs_hdd,time_good_aql_runs_binary,time_good_aql_runs_hdd,time_good_compile_runs_binary,time_good_compile_runs_hdd,total_rotations
Obfuscation1,AndroidSpecific,TRUE,TRUE,ca56131a7c713fed2a7fb88ee3d7603c,22562e10e3112e5c53f176bb1d80413c,0,16,2,5,0,9,219,0,28,0,0,2,5,1305,4,0,1643,20,117,28,27,75,0,719,0,0,113,509,1
StringToCharArray1,GeneralJava,TRUE,TRUE,7baaab9e231dd6adfa7d2d5ed04ed0e8,c35ed0b7f9c3d443ecacff168d0a98c6,0,15,0,5,0,10,26,0,18,0,0,0,5,704,4,0,801,32,70,18,0,61,0,423,0,0,0,219,1
StringToCharArray1,GeneralJava,TRUE,TRUE,ca56131a7c713fed2a7fb88ee3d7603c,22562e10e3112e5c53f176bb1d80413c,0,15,0,5,0,10,37,0,18,0,0,0,5,763,5,0,824,32,22,18,0,64,0,375,0,0,0,322,1
ActivityEventSequence2,Lifecycle,TRUE,TRUE,fc02225d305bbb82ba65a2fc2d31f9c2,455b5a41fee3f4d1e256727f07d3f3f7,0,23,0,4,0,13,76,0,19,0,6,0,10,2135,5,0,2290,44,77,45,0,61,0,1191,0,98,0,782,2
ContentProvider1,EmulatorDetection,TRUE,TRUE,b6e0326d94af6e730acbedd03ff773f7,710aa5265c13ae4bad533ccb30798a01,0,36,1,0,1,28,875,0,71,1,5,2,5,7431,4,0,8617,61,309,90,18,0,255,6252,21,106,456,1070,1
BroadcastReceiverLifecycle2,Lifecycle,TRUE,TRUE,29ea37dd3fee251e76d512636d738ba3,9e71d1dbb7f99254dd5f81811f612f41,0,36,0,9,0,20,56,0,27,1,6,1,15,1373,4,0,1473,55,43,38,0,120,0,663,16,93,20,494,2
ActivityCommunication3,InterComponentCommunication,TRUE,TRUE,5cee3ef47fb0bd87bbced50593579b6d,10b650ed7579d7e98a3f384e8d1f25bc,0,30,2,12,0,16,184,0,49,0,0,2,12,1051,4,0,1275,50,39,49,28,188,0,402,0,0,92,459,1
IP1,EmulatorDetection,TRUE,TRUE,b6e0326d94af6e730acbedd03ff773f7,710aa5265c13ae4bad533ccb30798a01,0,36,0,16,0,20,15,0,51,0,0,0,16,1489,4,0,1538,58,33,51,0,231,0,624,0,0,0,631,1
EventOrdering1,Lifecycle,TRUE,TRUE,7196205eb13a717874272a12b099976f,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,18,0,6,0,9,31,0,13,0,3,0,9,675,4,0,744,26,36,22,0,77,0,341,0,45,0,210,3
RegisterGlobal2,Callbacks,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,1ef9d1d10bc982ab49d3b8eaf4409c05,0,17,0,5,0,8,120,0,34,1,3,1,8,554,5,0,701,19,25,50,0,67,0,246,14,43,68,197,2
AsyncTask1,Threading,TRUE,TRUE,fc02225d305bbb82ba65a2fc2d31f9c2,455b5a41fee3f4d1e256727f07d3f3f7,0,13,0,2,0,8,93,0,22,1,2,1,4,555,4,0,708,17,58,29,0,23,0,347,13,32,61,150,2
StaticInitialization2,GeneralJava,TRUE,TRUE,95682e3ba9ce7d830b6f14564a4124f8,c167cc6905f08070a40daaa496572761,0,32,0,13,0,16,72,0,21,1,2,1,15,1313,4,0,1419,49,32,23,0,172,0,616,15,28,11,494,2
Singletons1,InterComponentCommunication,TRUE,TRUE,fc02225d305bbb82ba65a2fc2d31f9c2,455b5a41fee3f4d1e256727f07d3f3f7,0,30,3,6,0,15,399,0,32,3,3,6,9,1021,4,0,1515,33,93,41,32,78,0,499,46,46,300,396,2
MethodOverride1,Callbacks,TRUE,TRUE,fc02225d305bbb82ba65a2fc2d31f9c2,455b5a41fee3f4d1e256727f07d3f3f7,0,9,0,1,0,6,15,0,13,0,2,0,3,519,4,0,595,13,59,19,0,12,0,389,0,27,0,89,2
LocationLeak3,Callbacks,TRUE,TRUE,3c6cd0d0cee483981c0494449b550b3e,9e71d1dbb7f99254dd5f81811f612f41,0,43,2,11,0,26,414,0,50,2,2,4,13,3270,6,0,3735,65,50,53,27,162,0,1939,36,33,275,1134,2
ActivityLifecycle1,Lifecycle,TRUE,TRUE,2ce50012e8155857ce54e2be997f1253,c35ed0b7f9c3d443ecacff168d0a98c6,0,34,0,11,0,19,89,0,28,0,4,0,15,3198,4,0,3459,52,171,33,0,153,0,1665,0,70,0,1308,2
Singletons1,InterComponentCommunication,TRUE,TRUE,c2fb596f3658668139e936f83c2d07ad,c791204389a596fa6528cb8290cf2c9b,0,30,3,6,0,15,465,0,32,3,3,6,9,826,5,0,1312,33,19,41,34,74,0,492,47,44,339,214,2
ImplicitFlow1,ImplicitFlows,TRUE,TRUE,8c1eb69cc117c307729ac97fd5f617a1,1ef9d1d10bc982ab49d3b8eaf4409c05,0,57,0,14,0,37,44,0,24,0,6,0,20,4926,4,0,5077,92,106,71,0,200,0,2986,0,101,0,1635,3
