violation,file1,file2,execs1,execs2,uniq1,uniq2,presence_1minus2,presence_2minus1,frequency_1minus2_sum,frequency_2minus1_sum,frequency_1minus2_mean,frequency_2minus1_mean,frequency_1minus2_max,frequency_2minus1_max,frequency_1minus2_min,frequency_2minus1_min,frequency_1minus2_median,frequency_2minus1_median
FALSE,/home/austin/Desktop/default/Battery1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Battery1_analyzeframeworks_-coverage.txt,22613389,22408490,14188,13726,486,24,205302,403,235.9793103,4.477777778,13699,175,1,1,3,1.5
FALSE,/home/austin/Desktop/default/Bluetooth1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Bluetooth1_analyzeframeworks_-coverage.txt,22514707,22307730,13707,13232,480,5,207185,208,247.5328554,8,13872,94,1,1,2,3
FALSE,/home/austin/Desktop/default/BroadcastReceiverLifecycle1-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastReceiverLifecycle1_analyzeframeworks_-coverage.txt,11365901,11123066,13035,12554,485,4,242866,31,187.3966049,1.55,10666,2,1,1,3,3
FALSE,/home/austin/Desktop/default/BroadcastReceiverLifecycle2-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastReceiverLifecycle2_analyzeframeworks_-coverage.txt,13301289,13133431,14524,13612,922,10,168048,190,74.65482008,7.037037037,9622,16,1,1,4,1
FALSE,/home/austin/Desktop/default/BroadcastReceiverLifecycle3-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastReceiverLifecycle3_analyzeframeworks_-coverage.txt,13246868,13093198,13399,12906,498,5,153879,209,172.8977528,4.75,9583,16,1,1,1.5,1.5
FALSE,/home/austin/Desktop/default/BroadcastTaintAndLeak1-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastTaintAndLeak1_analyzeframeworks_-coverage.txt,9011679,8726106,13979,12478,1505,4,285734,161,90.73801207,8.05,7316,14,1,1,4,21
FALSE,/home/austin/Desktop/default/Build1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Build1_analyzeframeworks_-coverage.txt,22920905,22735215,14322,13901,482,61,198752,13062,258.4551365,11.67292225,13094,280,1,1,2,6
FALSE,/home/austin/Desktop/default/Button1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button1_analyzeframeworks_-coverage.txt,11816324,11540146,14433,13732,707,6,276324,146,119.1051724,3.743589744,10885,12,1,1,13.5,3
TRUE,/home/austin/Desktop/default/Button2-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button2_analyzeframeworks_-coverage.txt,13059400,12469413,15880,14865,1023,8,593865,3878,148.6148649,5.446629213,11021,96,1,1,42,6
FALSE,/home/austin/Desktop/default/Button3-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button3_analyzeframeworks_-coverage.txt,13530525,13257141,15518,15010,584,76,296335,22951,172.4883586,9.914038877,11223,255,1,1,18,5
FALSE,/home/austin/Desktop/default/Button4-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button4_analyzeframeworks_-coverage.txt,11792014,11519151,14416,13788,633,5,273014,151,121.1779849,3.595238095,10869,12,1,1,9,4.5
FALSE,/home/austin/Desktop/default/Button5-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button5_analyzeframeworks_-coverage.txt,12158152,11852233,14259,13205,1072,18,306043,124,97.68368975,2.583333333,11091,6,1,1,8,1.5
FALSE,/home/austin/Desktop/default/BytecodeTamper1-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper1_analyzeframeworks_-coverage.txt,9666875,9477528,12551,12363,250,62,189602,255,180.4015224,2.65625,6932,61,1,1,6,1.5
FALSE,/home/austin/Desktop/default/BytecodeTamper2-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper2_analyzeframeworks_-coverage.txt,9439374,9435003,12050,11925,133,8,4540,169,16.15658363,4.828571429,394,52,1,1,1,4
FALSE,/home/austin/Desktop/default/BytecodeTamper3-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper3_analyzeframeworks_-coverage.txt,9481957,9477758,12086,11975,133,22,4450,251,25.42857143,2.56122449,394,53,1,1,1,1.5
FALSE,/home/austin/Desktop/default/BytecodeTamper4-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper4_analyzeframeworks_-coverage.txt,9446140,9441760,12090,11957,137,4,4530,150,19.03361345,5.769230769,394,57,1,1,1.5,3
FALSE,/home/austin/Desktop/default/Clone1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Clone1_analyzeframeworks_-coverage.txt,9937445,9749525,13172,12256,978,62,188126,206,89.96939264,2.543209877,7219,19,1,1,4,1
FALSE,/home/austin/Desktop/default/Collector-coverage.txt,/home/austin/Desktop/analyzeframeworks/Collector_analyzeframeworks_-coverage.txt,21751235,21766815,13573,13500,132,59,4344,19924,28.20779221,16.60333333,394,621,1,1,1.5,10.5
FALSE,/home/austin/Desktop/default/ComponentNotInManifest1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ComponentNotInManifest1_analyzeframeworks_-coverage.txt,13782557,13536189,13370,12380,1013,23,246505,137,139.6628895,3.341463415,10325,10,1,1,4,1
FALSE,/home/austin/Desktop/default/Contacts1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Contacts1_analyzeframeworks_-coverage.txt,22499647,22291510,13984,13436,552,4,208369,232,222.616453,10.54545455,13767,87,1,1,4.5,18
FALSE,/home/austin/Desktop/default/ContentProvider1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ContentProvider1_analyzeframeworks_-coverage.txt,20612218,20399258,14543,14000,546,3,213500,540,218.3026585,2.432432432,12237,18,1,1,9,1.5
FALSE,/home/austin/Desktop/default/DeviceId_Broadcast1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DeviceId_Broadcast1_analyzeframeworks_-coverage.txt,32568181,32201317,14431,13465,1122,156,375756,8892,189.3931452,9.12,18333,262,1,1,12,3
FALSE,/home/austin/Desktop/default/DeviceId_contentProvider1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DeviceId_contentProvider1_analyzeframeworks_-coverage.txt,36061407,34928229,16369,15109,1313,53,1139655,6477,330.2390611,8.87260274,19670,140,1,1,59,7.5
FALSE,/home/austin/Desktop/default/DeviceId_OrderedIntent1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DeviceId_OrderedIntent1_analyzeframeworks_-coverage.txt,31712881,31386472,14549,13452,1161,64,332668,6259,161.6462585,7.346244131,17767,167,1,1,10.5,6
FALSE,/home/austin/Desktop/default/DeviceId_Service1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DeviceId_Service1_analyzeframeworks_-coverage.txt,31545357,31181018,14570,13538,1171,139,373375,9036,180.6361877,9.248720573,18054,262,1,1,8,3
FALSE,/home/austin/Desktop/default/DeviceId1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DeviceId1_analyzeframeworks_-coverage.txt,22301790,22071261,13809,13257,556,4,230770,241,233.1010101,10.95454545,13735,131,1,1,7.5,13.5
FALSE,/home/austin/Desktop/default/DirectLeak1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DirectLeak1_analyzeframeworks_-coverage.txt,11534672,11290963,13154,12675,484,5,243788,79,190.1622465,3.291666667,10732,6,1,1,3,1.5
FALSE,/home/austin/Desktop/default/DynamicBoth1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DynamicBoth1_analyzeframeworks_-coverage.txt,10681119,10697281,13375,13261,137,23,4592,20754,29.06329114,16.91442543,394,603,1,1,1.5,7
FALSE,/home/austin/Desktop/default/DynamicSink1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DynamicSink1_analyzeframeworks_-coverage.txt,11040454,10866191,13954,13724,246,16,188204,13941,188.7703109,12.44732143,6313,289,1,1,8,10.5
FALSE,/home/austin/Desktop/default/DynamicSource1-coverage.txt,/home/austin/Desktop/analyzeframeworks/DynamicSource1_analyzeframeworks_-coverage.txt,10692982,10709144,13382,13272,133,23,4591,20753,30.00653595,16.8586515,394,603,1,1,1,7
FALSE,/home/austin/Desktop/default/Echoer-coverage.txt,/home/austin/Desktop/analyzeframeworks/Echoer_analyzeframeworks_-coverage.txt,13434087,13443614,13438,13311,132,5,5369,14896,24.51598174,13.10114336,824,510,1,1,1,6
FALSE,/home/austin/Desktop/default/EventOrdering1-coverage.txt,/home/austin/Desktop/analyzeframeworks/EventOrdering1_analyzeframeworks_-coverage.txt,23896524,23509456,14472,13681,796,5,387330,262,138.4310222,2.787234043,17146,16,1,1,9,1.5
FALSE,/home/austin/Desktop/default/Exceptions1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions1_analyzeframeworks_-coverage.txt,12495098,12258333,14523,14162,490,129,247435,10670,197.3165869,9.034716342,10706,247,1,1,4.5,4
FALSE,/home/austin/Desktop/default/Exceptions2-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions2_analyzeframeworks_-coverage.txt,12271679,12018626,14290,13814,486,10,253186,133,191.9529947,2.293103448,11232,7,1,1,3,1.5
FALSE,/home/austin/Desktop/default/Exceptions3-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions3_analyzeframeworks_-coverage.txt,12220106,11967274,14211,13730,486,5,252923,91,191.7536012,3.033333333,11232,6,1,1,2,3
FALSE,/home/austin/Desktop/default/Exceptions4-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions4_analyzeframeworks_-coverage.txt,12466465,12228843,13892,13744,365,217,246280,8658,226.3602941,9.259893048,10729,240,1,1,6,3
FALSE,/home/austin/Desktop/default/Exceptions5-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions5_analyzeframeworks_-coverage.txt,12423810,12185820,13795,13645,351,201,246307,8317,230.6245318,9.548794489,10729,240,1,1,4.5,5
FALSE,/home/austin/Desktop/default/Exceptions6-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions6_analyzeframeworks_-coverage.txt,12292557,11971729,15635,14541,1098,4,321128,300,99.72919255,2.830188679,11528,18,1,1,12,1.5
FALSE,/home/austin/Desktop/default/Exceptions7-coverage.txt,/home/austin/Desktop/analyzeframeworks/Exceptions7_analyzeframeworks_-coverage.txt,12286340,11980554,14720,13803,967,50,306030,244,111.2836364,3.253333333,11567,18,1,1,12,1
FALSE,/home/austin/Desktop/default/Executor1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Executor1_analyzeframeworks_-coverage.txt,13423854,13286390,15149,14672,586,109,152338,14874,168.1434879,6.226035998,9148,239,1,1,7.5,3
TRUE,/home/austin/Desktop/default/FactoryMethods1-coverage.txt,/home/austin/Desktop/analyzeframeworks/FactoryMethods1_analyzeframeworks_-coverage.txt,12280703,11955274,13692,12394,1302,4,325567,138,122.0266117,7.263157895,11232,12,1,1,9,12
FALSE,/home/austin/Desktop/default/FieldSensitivity1-coverage.txt,/home/austin/Desktop/analyzeframeworks/FieldSensitivity1_analyzeframeworks_-coverage.txt,12190607,11888225,14680,14060,678,58,309249,6867,110.9214491,6.265510949,10650,102,1,1,13.5,4.5
FALSE,/home/austin/Desktop/default/FieldSensitivity2-coverage.txt,/home/austin/Desktop/analyzeframeworks/FieldSensitivity2_analyzeframeworks_-coverage.txt,11997869,11766392,14583,14035,570,22,244522,13045,177.5758896,6.15911237,10273,239,1,1,4,3
FALSE,/home/austin/Desktop/default/FieldSensitivity3-coverage.txt,/home/austin/Desktop/analyzeframeworks/FieldSensitivity3_analyzeframeworks_-coverage.txt,12004665,11771810,15144,14605,568,29,245920,13065,156.0406091,5.887787292,10273,239,1,1,6,2
FALSE,/home/austin/Desktop/default/FieldSensitivity4-coverage.txt,/home/austin/Desktop/analyzeframeworks/FieldSensitivity4_analyzeframeworks_-coverage.txt,11858658,11626942,14145,13752,485,92,240617,8901,195.7827502,7.904973357,10286,211,1,1,4,7.5
FALSE,/home/austin/Desktop/default/File1-coverage.txt,/home/austin/Desktop/analyzeframeworks/File1_analyzeframeworks_-coverage.txt,22818293,22613628,13776,13320,480,24,204977,312,236.4209919,3.759036145,13693,115,1,1,2,1
FALSE,/home/austin/Desktop/default/FlowSensitivity1-coverage.txt,/home/austin/Desktop/analyzeframeworks/FlowSensitivity1_analyzeframeworks_-coverage.txt,20623612,20269851,15187,14628,630,71,358136,4375,124.7860627,5.64516129,12537,96,1,1,25.5,3
FALSE,/home/austin/Desktop/default/FragmentLifecycle1-coverage.txt,/home/austin/Desktop/analyzeframeworks/FragmentLifecycle1_analyzeframeworks_-coverage.txt,12971266,12759564,14526,13903,628,5,212825,1123,101.927682,3.565079365,9072,44,1,1,18,1
