/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ApplicationLifecycle2_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ApplicationLifecycle2_codeelimination_REMOVECODE.instlog,13837346,13833088,15705,15903,0,198
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/AsynchronousEventOrdering1_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/AsynchronousEventOrdering1_codeelimination_REMOVECODE.instlog,11126190,11121449,15217,15414,0,197
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ArrayToString1_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ArrayToString1_codeelimination_REMOVECODE.instlog,11051131,11055676,14905,15105,0,200
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/AnonymousClass1_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/AnonymousClass1_codeelimination_REMOVECODE.instlog,14614381,14622585,16047,16281,8,242
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ArrayAccess2_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ArrayAccess2_codeelimination_REMOVECODE.instlog,13720378,13722883,15493,15566,0,73
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ArrayAccess3_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ArrayAccess3_codeelimination_REMOVECODE.instlog,13783697,13778887,15713,15924,0,211
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ApplicationLifecycle3_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ApplicationLifecycle3_codeelimination_REMOVECODE.instlog,14908046,14911074,15890,15962,2,74
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ArrayAccess1_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ArrayAccess1_codeelimination_REMOVECODE.instlog,13785847,13781301,15720,15917,0,197
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ArrayAccess4_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ArrayAccess4_codeelimination_REMOVECODE.instlog,14658605,14659173,16158,16398,0,240
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/ArrayAccess5_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/ArrayAccess5_codeelimination_REMOVECODE.instlog,13855627,13855207,15864,16065,0,201
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/AllReflection_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/AllReflection_codeelimination_REMOVECODE.instlog,19610765,19945042,15147,15358,0,211
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/AsyncTask1_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/AsyncTask1_codeelimination_REMOVECODE.instlog,15922070,15928644,15666,15849,0,183
/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/default/BroadcastTaintAndLeak1_default.instlog,/home/asm140830/git/AndroidTA_FaultLocalization/instrumentation/results/codeelimination_REMOVECODE/BroadcastTaintAndLeak1_codeelimination_REMOVECODE.instlog,10116032,10120396,14988,15176,8,196
